customer_id,business_name,customer_type,state,risk_rating
173,Luxe Gems,Retailer,TX,Medium
174,Sterling Diamond House,Retailer,MA,Low
175,Windsor Gems,Retailer,IL,Low
176,Pearl Jewelers,Manufacturer,FL,Low
177,Heritage Gems,Retailer,IL,Low
178,A. Collector,Individual Collector,PA,High
179,Heritage & Co.,Wholesaler,CO,Low
180,Diamond Gems,Retailer,NY,High
181,Diamond Gems,Retailer,AZ,Low
182,Windsor & Co.,Retailer,TX,High
183,Golden Gems,Manufacturer,CA,Low
184,Pearl Diamond House,Manufacturer,IL,Low
185,Windsor Atelier,Manufacturer,TX,Low
186,Golden Jewelers,Retailer,NJ,Low
187,Golden Estate Jewelry,Retailer,FL,High
188,Luxe Atelier,Retailer,NJ,Medium
189,Meridian Gems,Retailer,PA,Low
190,Crown Diamond House,Retailer,NY,High
191,Heritage Atelier,Wholesaler,MA,Medium
192,Sterling & Co.,Retailer,NY,Low
193,Golden Estate Jewelry,Retailer,IL,Low
194,Diamond Jewelers,Retailer,AZ,Low
195,Luxe Fine Jewelry,Manufacturer,WA,Low
196,T. Collector,Individual Collector,FL,Low
197,Meridian Atelier,Retailer,IL,Low
198,R. Collector,Individual Collector,CA,High
199,Luxe Atelier,Retailer,CA,Medium
200,Crown Atelier,Wholesaler,TX,Low
201,S. Collector,Individual Collector,MA,Low
202,M. Estate,Individual Collector,NY,Low
203,Pearl Fine Jewelry,Wholesaler,MA,Low
204,J. Estate,Individual Collector,FL,Medium
205,Meridian Diamond House,Retailer,CA,High
206,Windsor & Co.,Retailer,CO,Medium
207,Pearl Atelier,Retailer,NJ,Medium
208,A. Estate,Individual Collector,IL,Low
209,Luxe Gems,Retailer,CA,Low
210,Regal Fine Jewelry,Retailer,WA,High
211,Golden & Co.,Retailer,FL,Low
212,Heritage Diamond House,Wholesaler,CO,Medium
213,Sterling Jewelers,Wholesaler,FL,Low
214,A. Collector,Individual Collector,FL,High
215,Heritage Estate Jewelry,Retailer,WA,High
216,Golden Fine Jewelry,Retailer,CA,Low
217,Luxe Atelier,Retailer,NY,Medium
218,Diamond Diamond House,Retailer,FL,Medium
219,Crown Gems,Retailer,IL,Low
220,Heritage Atelier,Retailer,TX,Low
221,Crown Gems,Retailer,NJ,Medium
222,Meridian Estate Jewelry,Retailer,MA,Low
223,Windsor Diamond House,Retailer,CO,Medium
224,Regal & Co.,Wholesaler,MA,Medium
225,T. Estate,Individual Collector,NY,Low
226,Diamond Fine Jewelry,Retailer,NY,Low
227,A. Private Client,Individual Collector,AZ,Low
228,Sterling & Co.,Retailer,MA,High
229,Golden & Co.,Retailer,TX,Medium
230,Regal Gems,Wholesaler,GA,Low
231,Windsor Jewelers,Retailer,TX,Medium
232,Regal Gems,Manufacturer,CA,Low
233,Golden Jewelers,Wholesaler,FL,Low
234,Sterling & Co.,Retailer,WA,Low
235,R. Collector,Individual Collector,WA,High
236,Regal Diamond House,Manufacturer,FL,Medium
237,Diamond Atelier,Wholesaler,PA,Low
238,Heritage Jewelers,Retailer,GA,Low
239,Crown Jewelers,Retailer,AZ,Low
240,M. Collector,Individual Collector,CO,High
241,Crown Jewelers,Retailer,PA,Low
242,Luxe Diamond House,Wholesaler,WA,Low
243,Windsor Diamond House,Retailer,GA,Low
244,Sterling Jewelers,Retailer,PA,Medium
245,Meridian Atelier,Wholesaler,PA,Medium
246,R. Estate,Individual Collector,CA,Low
247,Crown Jewelers,Retailer,GA,Medium
248,Sterling Jewelers,Wholesaler,NJ,Medium
249,A. Private Client,Individual Collector,NY,Low
250,R. Private Client,Individual Collector,CA,High
251,Golden Estate Jewelry,Retailer,NJ,Medium
252,Meridian Fine Jewelry,Retailer,CA,High
253,Heritage Jewelers,Manufacturer,WA,Medium
254,M. Estate,Individual Collector,IL,High
255,R. Collector,Individual Collector,PA,Low
256,Luxe Estate Jewelry,Retailer,TX,Low
257,Heritage Gems,Retailer,CO,Low
258,T. Estate,Individual Collector,CA,High
259,A. Collector,Individual Collector,NY,Medium
260,Crown Atelier,Wholesaler,GA,Low
